"","Drehzahl","Stegbreite","Stabil"
"137",10000,12,TRUE
"138",10000,13,TRUE
"139",11000,12.5,TRUE
"140",12000,12,TRUE
"141",13000,12.5,FALSE
"142",13000,12,FALSE
"143",10000,12.5,TRUE
"144",10000,11.5,TRUE
"145",13000,11,FALSE
"146",13000,10,TRUE
"147",13000,10.5,FALSE
"148",12000,12.5,TRUE
"149",12000,13,TRUE
"150",12000,13.5,TRUE
"151",12000,14,TRUE
"152",12000,14.5,TRUE
"153",12000,15,TRUE
"154",12000,15.5,TRUE
"155",12000,16,FALSE
"156",11000,16,FALSE
"157",11000,14,TRUE
"158",11000,14.5,FALSE
"159",10000,13.5,TRUE
"160",10000,14.5,TRUE
"161",10000,15.5,TRUE
"162",10000,16,FALSE
"163",9000,10,TRUE
"164",9000,11,TRUE
"165",9000,12,TRUE
"166",9000,13,TRUE
"167",9000,14,TRUE
"168",9000,15,TRUE
"169",9000,16,TRUE
"170",9000,17,TRUE
"171",9000,18,TRUE
"172",9000,19,TRUE
"173",9000,20,TRUE
"174",8000,10,TRUE
"175",8000,12,TRUE
"176",8000,14,TRUE
"177",8000,15,FALSE
"178",8000,14.5,TRUE
"179",7500,10.5,TRUE
"180",7500,11.5,TRUE
"181",7500,12.5,TRUE
"182",7500,13.5,TRUE
"183",7500,14.5,TRUE
"184",7500,15.5,FALSE
"185",7500,15,FALSE
"186",10000,10.5,TRUE
"187",10000,11,TRUE
"190",7000,8,TRUE
"191",7000,10,TRUE
"192",7000,11,TRUE
"193",7000,12,TRUE
"194",7000,12.5,TRUE
"195",7000,13,TRUE
"196",7000,14,TRUE
"197",7000,15,TRUE
"198",7000,16,TRUE
"199",7000,16.5,TRUE
"200",7000,17,TRUE
"201",7000,18,TRUE
"202",7000,18.5,TRUE
"203",7000,19,TRUE
"204",7000,19.5,TRUE
"205",7000,20,TRUE
"206",7500,14.5,TRUE
"207",7500,15,TRUE
"208",7500,16,TRUE
"209",7500,17,TRUE
"210",13000,10.5,TRUE
"211",13000,11.5,FALSE
"212",13000,11,TRUE
"213",10000,16,TRUE
"214",10000,17,TRUE
"215",10000,18,FALSE
"216",10000,17.5,FALSE
"217",11000,14.5,FALSE
"218",11000,14,TRUE
"219",10500,14.5,FALSE
"220",10500,13,TRUE
"221",10500,13.5,TRUE
"222",10500,14,FALSE
"223",9500,13.5,TRUE
"224",9500,14.5,TRUE
"225",9500,15.5,TRUE
"226",9500,16.5,TRUE
"227",9500,17.5,TRUE
"228",9500,18.5,TRUE
"229",9500,20,TRUE
"230",10000,16,TRUE
"231",10000,17,FALSE
"232",10000,16.5,FALSE
"453",10000,10,TRUE
